Parameter,Optimal of Male,Optimal of Female,Fitness of Male,Fitness of Female
"(-8,2,0,10)",1.333314,-6.000573,2.667315,-35.998959
"(-8,2,2,0)",1.333314,-0.620319,-4.506253,-0.028762
"(-8,2,2,0.2)",1.333314,-0.620319,-4.506253,-0.028762
"(-8,2,2,0.4)",1.333314,-0.620319,-4.506253,-0.028762
"(-8,2,2,0.6)",1.333314,-0.620319,-4.506253,-0.028762
"(-8,2,2,0.8)",1.333314,-0.620319,-4.506253,-0.028762
"(-8,2,2,1)",1.333314,-1.000020,-3.999993,-1.000000
"(-8,2,2,2)",1.333314,-1.666829,-3.110927,-2.777746
"(-8,2,2,4)",1.333314,-2.999985,-1.333412,-8.999827
"(-8,2,2,6)",1.333314,-4.333628,0.444753,-18.777361
"(-8,2,2,8)",1.333314,-5.667200,2.222823,-32.110348
"(-8,2,2,10)",1.333314,-7.000938,4.001116,-48.998783
"(-8,2,4,0)",1.333314,-2.027907,-2.629497,-1.295385
"(-8,2,4,0.2)",1.333314,-2.027907,-2.629497,-1.295385
"(-8,2,4,0.4)",1.333314,-2.027907,-2.629497,-1.295385
"(-8,2,4,0.6)",1.333314,-2.027907,-2.629497,-1.295385
"(-8,2,4,0.8)",1.333314,-2.027907,-2.629497,-1.295385
"(-8,2,4,1)",1.333314,-2.000197,-2.666443,-4.000000
"(-8,2,4,2)",1.333314,-2.667036,-1.777337,-7.111060
"(-8,2,4,4)",1.333314,-4.000569,0.000682,-15.999769
"(-8,2,4,6)",1.333314,-5.332752,1.776900,-28.443932
"(-8,2,4,8)",1.333314,-6.665949,3.554470,-44.443546
"(-8,2,4,10)",1.333314,-7.998887,5.331695,-63.998611
"(-8,2,6,0)",1.333314,-2.027907,-2.629497,-5.351199
"(-8,2,6,0.2)",1.333314,-2.027907,-2.629497,-5.351199
"(-8,2,6,0.4)",1.333314,-2.027907,-2.629497,-5.351199
"(-8,2,6,0.6)",1.333314,-2.027907,-2.629497,-5.351199
"(-8,2,6,0.8)",1.333314,-2.027907,-2.629497,-5.351199
"(-8,2,6,1)",1.333314,-2.999483,-1.334081,-9.000000
"(-8,2,6,2)",1.333314,-3.666442,-0.444815,-13.444374
"(-8,2,6,4)",1.333314,-5.000561,1.333984,-24.999712
"(-8,2,6,6)",1.333314,-6.333367,3.111034,-40.110504
"(-8,2,6,8)",1.333314,-7.667449,4.889784,-58.776745
"(-8,2,6,10)",1.333314,-9.001632,6.668668,-80.998436
"(-8,2,8,0)",1.333314,-5.385013,1.846580,-6.901825
"(-8,2,8,0.2)",1.333314,-5.385013,1.846580,-6.901825
"(-8,2,8,0.4)",1.333314,-5.385013,1.846580,-6.901825
"(-8,2,8,0.6)",1.333314,-5.385013,1.846580,-6.901825
"(-8,2,8,0.8)",1.333314,-5.385013,1.846580,-6.901825
"(-8,2,8,1)",1.333314,-4.000367,0.000412,-16.000000
"(-8,2,8,2)",1.333314,-4.666514,0.888595,-21.777689
"(-8,2,8,4)",1.333314,-6.000904,2.667756,-35.999653
"(-8,2,8,6)",1.333314,-7.333149,4.444057,-53.777073
"(-8,2,8,8)",1.333314,-8.666930,6.222406,-75.109940
"(-8,2,8,10)",1.333314,-9.998256,7.997481,-99.998260
"(-8,2,10,0)",1.333314,-5.385013,1.846580,-17.671852
"(-8,2,10,0.2)",1.333314,-5.385013,1.846580,-17.671852
"(-8,2,10,0.4)",1.333314,-5.385013,1.846580,-17.671852
"(-8,2,10,0.6)",1.333314,-5.385013,1.846580,-17.671852
"(-8,2,10,0.8)",1.333314,-5.385013,1.846580,-17.671852
"(-8,2,10,1)",1.333314,-5.000000,1.333237,-25.000000
"(-8,2,10,2)",1.333314,-5.666523,2.221922,-32.111004
"(-8,2,10,4)",1.333314,-6.999417,3.999088,-48.999596
"(-8,2,10,6)",1.333314,-8.333183,5.777417,-69.443642
"(-8,2,10,8)",1.333314,-9.665022,7.553176,-93.443138
"(-8,2,10,10)",1.333314,-11.000280,9.333495,-120.998093
"(-8,4,-10,0)",1.553021,5.693276,-9.206573,-33.361149
"(-8,4,-10,0.2)",1.448103,5.683146,-9.329593,-32.763092
"(-8,4,-10,0.4)",1.401201,5.683146,-9.356015,-32.496544
"(-8,4,-10,0.6)",1.552820,5.683146,-9.191212,-33.358215
"(-8,4,-10,0.8)",1.304889,5.683146,-9.341310,-31.949184
"(-8,4,-10,1)",1.358938,5.000665,-8.433536,-25.000000
"(-8,4,-10,2)",1.166059,4.502651,-7.780360,-19.502289
"(-8,4,-10,4)",1.166101,1.526722,-4.310162,-7.595405
"(-8,4,-10,6)",1.165809,1.526722,-4.310784,-4.037010
"(-8,4,-10,8)",1.166091,1.526722,-4.310183,-0.474261
"(-8,4,-10,10)",1.166046,1.526722,-4.310280,3.085705
"(-8,4,-8,0)",1.262841,4.639478,-7.987813,-21.449989
"(-8,4,-8,0.2)",1.262898,4.640016,-7.988494,-21.450245
"(-8,4,-8,0.4)",1.262276,4.630423,-7.976377,-21.447439
"(-8,4,-8,0.6)",1.263287,4.630320,-7.976249,-21.452120
"(-8,4,-8,0.8)",1.259460,4.635946,-7.983270,-21.434359
"(-8,4,-8,1)",1.200043,3.999188,-7.199025,-15.999998
"(-8,4,-8,2)",1.166250,3.450538,-6.553494,-11.673903
"(-8,4,-8,4)",1.165761,1.526722,-4.310886,-4.543515
"(-8,4,-8,6)",1.166131,1.526722,-4.310097,-0.981104
"(-8,4,-8,8)",1.165864,1.526722,-4.310667,2.576759
"(-8,4,-8,10)",1.166082,1.526722,-4.310203,6.139647
"(-8,4,-6,0)",1.157200,3.570292,-6.693583,-12.806309
"(-8,4,-6,0.2)",1.158875,3.583514,-6.708888,-12.812356
"(-8,4,-6,0.4)",1.157022,3.578758,-6.703378,-12.805741
"(-8,4,-6,0.6)",1.158727,3.575983,-6.700162,-12.811833
"(-8,4,-6,0.8)",1.157425,3.578758,-6.703380,-12.807184
"(-8,4,-6,1)",1.141775,3.000406,-6.041737,-9.000001
"(-8,4,-6,2)",1.121424,1.526722,-4.395535,-5.117348
"(-8,4,-6,4)",1.121358,1.526722,-4.395648,-1.693448
"(-8,4,-6,6)",1.121350,1.526722,-4.395660,1.730496
"(-8,4,-6,8)",1.121403,1.526722,-4.395570,5.155045
"(-8,4,-6,10)",1.121392,1.526722,-4.395589,8.579028
"(-8,4,-4,0)",1.073042,2.527754,-5.539627,-6.433862
"(-8,4,-4,0.2)",1.167313,2.524604,-5.472409,-6.671794
"(-8,4,-4,0.4)",1.160608,2.526402,-5.481972,-6.655063
"(-8,4,-4,0.6)",1.096466,2.533636,-5.538586,-6.493278
"(-8,4,-4,0.8)",1.004354,2.528494,-5.530700,-6.260198
"(-8,4,-4,1)",1.015611,2.000001,-4.998783,-4.000000
"(-8,4,-4,2)",1.032387,1.526722,-4.506149,-2.199840
"(-8,4,-4,4)",1.032274,1.526722,-4.506239,0.951980
"(-8,4,-4,6)",1.032251,1.526722,-4.506258,4.103796
"(-8,4,-4,8)",1.032580,1.526722,-4.505995,7.259233
"(-8,4,-4,10)",1.006233,-2.661790,-0.308956,-6.373151
"(-8,4,-2,0)",0.942503,1.479049,-4.492472,-2.164520
"(-8,4,-2,0.2)",0.943407,1.474352,-4.488086,-2.165905
"(-8,4,-2,0.4)",0.950531,1.474840,-4.488583,-2.176408
"(-8,4,-2,0.6)",0.949994,1.473457,-4.487285,-2.175614
"(-8,4,-2,0.8)",0.955232,1.470042,-4.483746,-2.183292
"(-8,4,-2,1)",0.899934,0.999745,-4.049771,-1.000000
"(-8,4,-2,2)",0.800040,0.621924,-3.697565,-0.359494
"(-8,4,-2,4)",0.860402,0.621924,-3.716863,0.748257
"(-8,4,-2,6)",0.800040,-0.999952,-2.399998,-1.000202
"(-8,4,-2,8)",0.959233,-1.799629,-1.346962,-5.245916
"(-8,4,-2,10)",0.800040,-2.903879,-0.876779,-6.668715
"(-8,4,0,0)",0.800040,0.421039,-3.536848,-0.159574
"(-8,4,0,0.2)",0.800040,0.418860,-3.535105,-0.159661
"(-8,4,0,0.4)",0.867252,0.420013,-3.541643,-0.187846
"(-8,4,0,0.6)",0.853700,0.419066,-3.543338,-0.182140
"(-8,4,0,0.8)",0.858712,0.419938,-3.543370,-0.184258
"(-8,4,0,1)",0.800040,0.000000,-3.200000,0.000000
"(-8,4,0,2)",0.800040,-0.399962,-2.880014,-0.160016
"(-8,4,0,4)",0.800040,-1.199663,-2.240221,-1.440146
"(-8,4,0,6)",0.800040,-1.999614,-1.600228,-4.000404
"(-8,4,0,8)",0.800040,-2.800147,-0.959769,-7.840794
"(-8,4,0,10)",0.800040,-3.599427,-0.320313,-12.961308
"(-8,4,2,0)",0.800040,-0.620319,-2.703720,-0.359562
"(-8,4,2,0.2)",0.800040,-0.620319,-2.703720,-0.359562
"(-8,4,2,0.4)",0.800040,-0.620319,-2.703720,-0.359562
"(-8,4,2,0.6)",0.800040,-0.620319,-2.703720,-0.359562
"(-8,4,2,0.8)",0.800040,-0.620319,-2.703720,-0.359562
"(-8,4,2,1)",0.800040,-0.999848,-2.400081,-1.000000
"(-8,4,2,2)",0.800040,-1.400199,-2.079784,-1.960056
"(-8,4,2,4)",0.800040,-2.199984,-1.439924,-4.840267
"(-8,4,2,6)",0.800040,-2.999814,-0.800027,-9.000607
"(-8,4,2,8)",0.800040,-3.800404,-0.159523,-14.441076
"(-8,4,2,10)",0.800040,-4.599538,0.479816,-21.161674
"(-8,4,4,0)",0.800040,-2.027907,-1.577592,-2.376814
"(-8,4,4,0.2)",0.800040,-2.027907,-1.577592,-2.376814
"(-8,4,4,0.4)",0.800040,-2.027907,-1.577592,-2.376814
"(-8,4,4,0.6)",0.800040,-2.027907,-1.577592,-2.376814
"(-8,4,4,0.8)",0.800040,-2.027907,-1.577592,-2.376814
"(-8,4,4,1)",0.800040,-2.000182,-1.599774,-4.000000
"(-8,4,4,2)",0.800040,-2.400547,-1.279465,-5.760097
"(-8,4,4,4)",0.800040,-3.200178,-0.639728,-10.240390
"(-8,4,4,6)",0.800040,-4.000319,0.000417,-16.000811
"(-8,4,4,8)",0.800040,-4.799453,0.639757,-23.041359
"(-8,4,4,10)",0.800040,-5.599208,1.279593,-31.362038
"(-8,4,6,0)",0.800040,-2.027907,-1.577592,-6.432627
"(-8,4,6,0.2)",0.800040,-2.027907,-1.577592,-6.432627
"(-8,4,6,0.4)",0.800040,-2.027907,-1.577592,-6.432627
"(-8,4,6,0.6)",0.800040,-2.027907,-1.577592,-6.432627
"(-8,4,6,0.8)",0.800040,-2.027907,-1.577592,-6.432627
"(-8,4,6,1)",0.800040,-2.999676,-0.800138,-9.000000
"(-8,4,6,2)",0.800040,-3.400600,-0.479382,-11.560137
"(-8,4,6,4)",0.800040,-4.199860,0.160058,-17.640509
"(-8,4,6,6)",0.800040,-5.000436,0.800551,-25.001013
"(-8,4,6,8)",0.800040,-5.800370,1.440531,-33.641644
"(-8,4,6,10)",0.800040,-6.600700,2.080827,-43.562401
"(-8,4,8,0)",0.800040,-5.385013,1.108229,-9.773509
"(-8,4,8,0.2)",0.800040,-5.385013,1.108229,-9.773509
"(-8,4,8,0.4)",0.800040,-5.385013,1.108229,-9.773509
"(-8,4,8,0.6)",0.800040,-5.385013,1.108229,-9.773509
"(-8,4,8,0.8)",0.800040,-5.385013,1.108229,-9.773509
"(-8,4,8,1)",0.800040,-4.000367,0.000455,-15.999999
"(-8,4,8,2)",0.800040,-4.400931,0.320923,-19.360176
"(-8,4,8,4)",0.800040,-5.199568,0.959865,-27.040630
"(-8,4,8,6)",0.800040,-6.000904,1.600966,-36.001213
"(-8,4,8,8)",0.800040,-6.799591,2.239948,-46.241924
"(-8,4,8,10)",0.800040,-7.600626,2.880808,-57.762764
"(-8,4,10,0)",0.800040,-5.385013,1.108229,-20.543535
"(-8,4,10,0.2)",0.800040,-5.385013,1.108229,-20.543535
"(-8,4,10,0.4)",0.800040,-5.385013,1.108229,-20.543535
"(-8,4,10,0.6)",0.800040,-5.385013,1.108229,-20.543535
"(-8,4,10,0.8)",0.800040,-5.385013,1.108229,-20.543535
"(-8,4,10,1)",0.800040,-5.000000,0.800203,-24.999998
"(-8,4,10,2)",0.800040,-5.400432,1.120564,-29.160219
"(-8,4,10,4)",0.800040,-6.200754,1.760854,-38.440750
"(-8,4,10,6)",0.800040,-6.999479,2.399867,-49.001415
"(-8,4,10,8)",0.800040,-7.799636,3.040025,-60.842209
"(-8,4,10,10)",0.800040,-8.599895,3.680264,-73.963135
"(-8,6,-10,0)",0.849611,5.486389,-6.405313,-29.424721
"(-8,6,-10,0.2)",0.967675,5.487112,-6.496377,-30.072464
"(-8,6,-10,0.4)",0.974028,5.481150,-6.489903,-30.107292
"(-8,6,-10,0.6)",0.999072,5.480132,-6.480609,-30.244522
"(-8,6,-10,0.8)",0.952868,5.480717,-6.489642,-29.991308
"(-8,6,-10,1)",0.891676,5.000665,-6.026778,-25.000000
"(-8,6,-10,2)",0.832895,4.579029,-5.621011,-21.008936
"(-8,6,-10,4)",0.832866,3.947913,-5.095351,-14.028864
"(-8,6,-10,6)",0.832872,1.526722,-3.078810,-6.578522
"(-8,6,-10,8)",0.832872,1.526722,-3.078810,-4.035394
"(-8,6,-10,10)",0.832864,1.526722,-3.078826,-1.492372
"(-8,6,-8,0)",0.888921,4.438828,-5.525873,-19.753199
"(-8,6,-8,0.2)",0.891655,4.451176,-5.536813,-19.765356
"(-8,6,-8,0.4)",0.889015,4.446796,-5.532955,-19.753643
"(-8,6,-8,0.6)",0.888362,4.438828,-5.525873,-19.750715
"(-8,6,-8,0.8)",0.888458,4.442012,-5.528703,-19.751167
"(-8,6,-8,1)",0.857113,4.000016,-5.142870,-16.000000
"(-8,6,-8,2)",0.832868,3.578799,-4.787928,-12.841923
"(-8,6,-8,4)",0.832895,1.526722,-3.078761,-6.068099
"(-8,6,-8,6)",0.832872,1.526722,-3.078810,-3.525077
"(-8,6,-8,8)",0.832876,1.526722,-3.078802,-0.981909
"(-8,6,-8,10)",0.832879,1.526722,-3.078794,1.561282
"(-8,6,-6,0)",0.816129,3.408947,-4.648707,-11.614903
"(-8,6,-6,0.2)",0.817906,3.403726,-4.644384,-11.620934
"(-8,6,-6,0.4)",0.819014,3.403370,-4.644032,-11.624702
"(-8,6,-6,0.6)",0.814627,3.406727,-4.646908,-11.609784
"(-8,6,-6,0.8)",0.830570,3.407314,-4.645648,-11.664109
"(-8,6,-6,1)",0.736088,3.000688,-4.304695,-9.000000
"(-8,6,-6,2)",0.801026,1.526722,-3.139653,-5.606508
"(-8,6,-6,4)",0.800883,1.526722,-3.139894,-3.161276
"(-8,6,-6,6)",0.801083,1.526722,-3.139557,-0.714297
"(-8,6,-6,8)",0.801015,1.526722,-3.139671,1.731039
"(-8,6,-6,10)",0.800810,1.526722,-3.140017,4.174078
"(-8,6,-4,0)",0.741325,2.370943,-3.841299,-5.620039
"(-8,6,-4,0.2)",0.738284,2.367078,-3.838405,-5.612829
"(-8,6,-4,0.4)",0.752388,2.367088,-3.837458,-5.646216
"(-8,6,-4,0.6)",0.740443,2.374977,-3.844289,-5.617929
"(-8,6,-4,0.8)",0.756797,2.371703,-3.840082,-5.656734
"(-8,6,-4,1)",0.745505,1.999975,-3.564588,-4.000000
"(-8,6,-4,2)",0.737501,1.526722,-3.218613,-2.650048
"(-8,6,-4,4)",0.737398,1.526722,-3.218695,-0.398601
"(-8,6,-4,6)",0.737448,1.526722,-3.218656,1.853381
"(-8,6,-4,8)",0.737480,1.526722,-3.218630,4.105484
"(-8,6,-4,10)",0.737505,1.526722,-3.218610,6.357678
"(-8,6,-2,0)",0.687768,1.339107,-3.111965,-1.806002
"(-8,6,-2,0.2)",0.662707,1.315766,-3.099360,-1.772260
"(-8,6,-2,0.4)",0.633333,1.322493,-3.096467,-1.733577
"(-8,6,-2,0.6)",0.674968,1.332785,-3.110258,-1.788841
"(-8,6,-2,0.8)",0.680568,1.335227,-3.111047,-1.796335
"(-8,6,-2,1)",0.642742,0.999745,-2.892693,-1.000000
"(-8,6,-2,2)",0.571504,0.621924,-2.641147,-0.501627
"(-8,6,-2,4)",0.626577,0.621924,-2.654108,0.311992
"(-8,6,-2,6)",0.586156,0.621924,-2.648741,0.965663
"(-8,6,-2,8)",0.641843,-1.209798,-1.474505,-1.552299
"(-8,6,-2,10)",0.608792,-2.002058,-1.057105,-2.957178
"(-8,6,0,0)",0.586497,0.285766,-2.451725,-0.085939
"(-8,6,0,0.2)",0.611284,0.296984,-2.456137,-0.093342
"(-8,6,0,0.4)",0.571504,0.285766,-2.449031,-0.081654
"(-8,6,0,0.6)",0.571504,0.285766,-2.449031,-0.081654
"(-8,6,0,0.8)",0.571504,0.285766,-2.449031,-0.081654
"(-8,6,0,1)",0.571504,0.000000,-2.285714,0.000000
"(-8,6,0,2)",0.571504,-0.285699,-2.122436,-0.081654
"(-8,6,0,4)",0.571504,-0.857310,-1.795758,-0.734887
"(-8,6,0,6)",0.571504,-1.485621,-1.436676,-2.038121
"(-8,6,0,8)",0.571504,-2.000470,-1.142438,-4.001053
"(-8,6,0,10)",0.571504,-2.571922,-0.815851,-6.613986
"(-8,6,2,0)",0.571504,-0.620319,-1.931200,-0.501328
"(-8,6,2,0.2)",0.571504,-0.620319,-1.931200,-0.501328
"(-8,6,2,0.4)",0.571504,-0.620319,-1.931200,-0.501328
"(-8,6,2,0.6)",0.571504,-0.620319,-1.931200,-0.501328
"(-8,6,2,0.8)",0.571504,-0.620319,-1.931200,-0.501328
"(-8,6,2,1)",0.571504,-1.000065,-1.714174,-1.000000
"(-8,6,2,2)",0.571504,-1.286006,-1.550757,-1.653158
"(-8,6,2,4)",0.571504,-1.856997,-1.224434,-3.449399
"(-8,6,2,6)",0.571504,-2.428584,-0.897769,-5.898872
"(-8,6,2,8)",0.571504,-3.000119,-0.571135,-9.001580
"(-8,6,2,10)",0.571504,-3.572354,-0.244100,-12.757521
"(-8,6,4,0)",0.571504,-2.027907,-1.126758,-2.840265
"(-8,6,4,0.2)",0.571504,-2.027907,-1.126758,-2.840265
"(-8,6,4,0.4)",0.571504,-2.027907,-1.126758,-2.840265
"(-8,6,4,0.6)",0.571504,-2.027907,-1.126758,-2.840265
"(-8,6,4,0.8)",0.571504,-2.027907,-1.126758,-2.840265
"(-8,6,4,1)",0.571504,-2.000182,-1.142603,-4.000000
"(-8,6,4,2)",0.571504,-2.285940,-0.979291,-5.224662
"(-8,6,4,4)",0.571504,-2.857384,-0.652708,-8.163910
"(-8,6,4,6)",0.571504,-3.429106,-0.325967,-11.756392
"(-8,6,4,8)",0.571504,-4.000569,0.000626,-16.002108
"(-8,6,4,10)",0.571504,-4.571574,0.326958,-20.901056
"(-8,6,6,0)",0.571504,-2.027907,-1.126758,-6.896078
"(-8,6,6,0.2)",0.571504,-2.027907,-1.126758,-6.896078
"(-8,6,6,0.4)",0.571504,-2.027907,-1.126758,-6.896078
"(-8,6,6,0.6)",0.571504,-2.027907,-1.126758,-6.896078
"(-8,6,6,0.8)",0.571504,-2.027907,-1.126758,-6.896078
"(-8,6,6,1)",0.571504,-2.999676,-0.571388,-9.000000
"(-8,6,6,2)",0.571504,-3.285715,-0.407916,-10.796165
"(-8,6,6,4)",0.571504,-3.856448,-0.081740,-14.878421
"(-8,6,6,6)",0.571504,-4.428934,0.245438,-19.613911
"(-8,6,6,8)",0.571504,-5.000929,0.572336,-25.002634
"(-8,6,6,10)",0.571504,-5.571847,0.898617,-31.044592
"(-8,6,8,0)",0.571504,-5.385013,0.791841,-11.004184
"(-8,6,8,0.2)",0.571504,-5.385013,0.791841,-11.004184
"(-8,6,8,0.4)",0.571504,-5.385013,0.791841,-11.004184
"(-8,6,8,0.6)",0.571504,-5.385013,0.791841,-11.004184
"(-8,6,8,0.8)",0.571504,-5.385013,0.791841,-11.004184
"(-8,6,8,1)",0.571504,-4.000369,0.000512,-16.000000
"(-8,6,8,2)",0.571504,-4.285446,0.163434,-18.367670
"(-8,6,8,4)",0.571504,-4.856563,0.489830,-23.592932
"(-8,6,8,6)",0.571504,-5.427687,0.816229,-29.471430
"(-8,6,8,8)",0.571504,-6.000904,1.143825,-36.003162
"(-8,6,8,10)",0.571504,-6.571409,1.469871,-43.188126
"(-8,6,10,0)",0.571504,-5.385013,0.791841,-21.774210
"(-8,6,10,0.2)",0.571504,-5.385013,0.791841,-21.774210
"(-8,6,10,0.4)",0.571504,-5.385013,0.791841,-21.774210
"(-8,6,10,0.6)",0.571504,-5.385013,0.791841,-21.774210
"(-8,6,10,0.8)",0.571504,-5.385013,0.791841,-21.774210
"(-8,6,10,1)",0.571504,-5.000000,0.571805,-25.000000
"(-8,6,10,2)",0.571504,-5.285869,0.735180,-27.939175
"(-8,6,10,4)",0.571504,-5.858572,1.062482,-34.307442
"(-8,6,10,6)",0.571504,-6.427373,1.387554,-41.328949
"(-8,6,10,8)",0.571504,-6.999479,1.714514,-49.003689
"(-8,6,10,10)",0.571504,-7.571536,2.041447,-57.331661
"(-8,8,-10,0)",0.767895,5.371101,-4.960638,-28.986721
"(-8,8,-10,0.2)",0.577311,5.371101,-4.719693,-27.963079
"(-8,8,-10,0.4)",0.784024,5.371101,-4.951021,-29.073357
"(-8,8,-10,0.6)",0.925983,5.373340,-4.666485,-29.836239
"(-8,8,-10,0.8)",0.981583,5.370344,-4.452556,-30.134285
"(-8,8,-10,1)",0.710790,5.000665,-4.693741,-25.000000
"(-8,8,-10,2)",0.647849,4.696052,-4.447750,-21.865280
"(-8,8,-10,4)",0.647790,3.832723,-3.888433,-16.189064
"(-8,8,-10,6)",0.647832,1.526722,-2.394538,-7.991041
"(-8,8,-10,8)",0.647748,1.526722,-2.394717,-6.013818
"(-8,8,-10,10)",0.647788,1.526722,-2.394631,-4.035406
"(-8,8,-8,0)",0.695864,4.341008,-4.229623,-18.904465
"(-8,8,-8,0.2)",0.701505,4.339579,-4.227293,-18.928923
"(-8,8,-8,0.4)",0.690380,4.339579,-4.229378,-18.880648
"(-8,8,-8,0.6)",0.692447,4.339579,-4.229159,-18.889614
"(-8,8,-8,0.8)",0.620142,4.339579,-4.191105,-18.575840
"(-8,8,-8,1)",0.666504,3.999244,-3.999496,-15.999998
"(-8,8,-8,2)",0.647828,3.695432,-3.799498,-13.513233
"(-8,8,-8,4)",0.647790,1.526722,-2.394627,-6.915908
"(-8,8,-8,6)",0.647861,1.526722,-2.394477,-4.937378
"(-8,8,-8,8)",0.647819,1.526722,-2.394566,-2.959620
"(-8,8,-8,10)",0.647756,1.526722,-2.394701,-0.982406
"(-8,8,-6,0)",0.624771,3.312042,-3.554386,-10.971896
"(-8,8,-6,0.2)",0.628601,3.314753,-3.556212,-10.984587
"(-8,8,-6,0.4)",0.623156,3.314312,-3.555671,-10.966541
"(-8,8,-6,0.6)",0.621673,3.313859,-3.555225,-10.961630
"(-8,8,-6,0.8)",0.631298,3.312553,-3.554757,-10.993519
"(-8,8,-6,1)",0.616505,3.000688,-3.361273,-9.000000
"(-8,8,-6,2)",0.623051,2.693748,-3.169017,-7.227866
"(-8,8,-6,4)",0.623049,1.526722,-2.441903,-3.975782
"(-8,8,-6,6)",0.622998,1.526722,-2.441990,-2.073729
"(-8,8,-6,8)",0.623021,1.526722,-2.441952,-0.171196
"(-8,8,-6,10)",0.623000,1.526722,-2.441987,1.730874
"(-8,8,-4,0)",0.612964,2.298300,-2.930963,-5.319793
"(-8,8,-4,0.2)",0.577229,2.298538,-2.945875,-5.237658
"(-8,8,-4,0.4)",0.559562,2.280288,-2.934472,-5.197400
"(-8,8,-4,0.6)",0.575708,2.298300,-2.945856,-5.234168
"(-8,8,-4,0.8)",0.568904,2.278588,-2.934664,-5.218687
"(-8,8,-4,1)",0.540553,1.999975,-2.775739,-4.000000
"(-8,8,-4,2)",0.573530,1.526722,-2.503431,-2.900386
"(-8,8,-4,4)",0.573601,1.526722,-2.503374,-1.148820
"(-8,8,-4,6)",0.573595,1.526722,-2.503378,0.602595
"(-8,8,-4,8)",0.573563,1.526722,-2.503404,2.353689
"(-8,8,-4,10)",0.573635,1.526722,-2.503346,4.106027
"(-8,8,-2,0)",0.522565,1.256584,-2.379499,-1.590811
"(-8,8,-2,0.2)",0.506420,1.260010,-2.381303,-1.570489
"(-8,8,-2,0.4)",0.512686,1.255908,-2.379752,-1.578397
"(-8,8,-2,0.6)",0.512367,1.256954,-2.380278,-1.577996
"(-8,8,-2,0.8)",0.509945,1.257058,-2.380195,-1.574951
"(-8,8,-2,1)",0.499983,0.999745,-2.249873,-1.000000
"(-8,8,-2,2)",0.444420,0.621924,-2.054173,-0.580663
"(-8,8,-2,4)",0.444429,0.621924,-2.054179,-0.027855
"(-8,8,-2,6)",0.444420,0.621924,-2.054173,0.524918
"(-8,8,-2,8)",0.444420,0.621924,-2.054173,1.077709
"(-8,8,-2,10)",0.444424,-0.999850,-1.333420,-0.999819
"(-8,8,0,0)",0.455299,0.237674,-1.884930,-0.051724
"(-8,8,0,0.2)",0.444420,0.242227,-1.885428,-0.048976
"(-8,8,0,0.4)",0.451847,0.222240,-1.877703,-0.051028
"(-8,8,0,0.6)",0.484242,0.222240,-1.871141,-0.058227
"(-8,8,0,0.8)",0.444420,0.222272,-1.876560,-0.049377
"(-8,8,0,1)",0.444429,0.000000,-1.777778,0.000000
"(-8,8,0,2)",0.444420,-0.237734,-1.672124,-0.049136
"(-8,8,0,4)",0.444420,-0.666683,-1.481491,-0.444395
"(-8,8,0,6)",0.444420,-1.111386,-1.283856,-1.234430
"(-8,8,0,8)",0.444420,-1.663890,-1.038313,-2.407727
"(-8,8,0,10)",0.444420,-2.150754,-0.821940,-3.976792
"(-8,8,2,0)",0.444420,-0.620319,-1.502096,-0.580160
"(-8,8,2,0.2)",0.444420,-0.620319,-1.502096,-0.580160
"(-8,8,2,0.4)",0.444420,-0.620319,-1.502096,-0.580160
"(-8,8,2,0.6)",0.444420,-0.620319,-1.502096,-0.580160
"(-8,8,2,0.8)",0.444420,-0.620319,-1.502096,-0.580160
"(-8,8,2,1)",0.444420,-1.000065,-1.333329,-1.000000
"(-8,8,2,2)",0.444420,-1.222255,-1.234584,-1.493797
"(-8,8,2,4)",0.444420,-1.666583,-1.037115,-2.777654
"(-8,8,2,6)",0.444420,-2.111365,-0.839446,-4.456528
"(-8,8,2,8)",0.444420,-2.554941,-0.642312,-6.530419
"(-8,8,2,10)",0.444420,-2.999856,-0.444583,-8.999329
"(-8,8,4,0)",0.444420,-2.027907,-0.876536,-3.097980
"(-8,8,4,0.2)",0.444420,-2.027907,-0.876536,-3.097980
"(-8,8,4,0.4)",0.444420,-2.027907,-0.876536,-3.097980
"(-8,8,4,0.6)",0.444420,-2.027907,-0.876536,-3.097980
"(-8,8,4,0.8)",0.444420,-2.027907,-0.876536,-3.097980
"(-8,8,4,1)",0.444420,-2.000182,-0.888858,-4.000000
"(-8,8,4,2)",0.444420,-2.222771,-0.789935,-4.938216
"(-8,8,4,4)",0.444420,-2.667273,-0.592389,-7.110912
"(-8,8,4,6)",0.444420,-3.111994,-0.394747,-9.678624
"(-8,8,4,8)",0.444420,-3.555641,-0.197581,-12.641357
"(-8,8,4,10)",0.444420,-4.000569,0.000154,-15.999105
"(-8,8,6,0)",0.444420,-2.027907,-0.876536,-7.153793
"(-8,8,6,0.2)",0.444420,-2.027907,-0.876536,-7.153793
"(-8,8,6,0.4)",0.444420,-2.027907,-0.876536,-7.153793
"(-8,8,6,0.6)",0.444420,-2.027907,-0.876536,-7.153793
"(-8,8,6,0.8)",0.444420,-2.027907,-0.876536,-7.153793
"(-8,8,6,1)",0.444420,-2.999676,-0.444663,-9.000000
"(-8,8,6,2)",0.444420,-3.221793,-0.345950,-10.382636
"(-8,8,6,4)",0.444420,-3.666442,-0.148339,-13.444172
