Parameter,Optimal of Male,Optimal of Female,Fitness of Male,Fitness of Female
"(-10,0,4,10)",-1480671.625000,1884298.750000,4982431023104.000000,-21559659986944.000000
"(-10,0,6,0)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0,6,0.2)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0,6,0.4)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0,6,0.6)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0,6,0.8)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0,6,1)",4.999765,-3.000000,-10.000701,-9.000000
"(-10,0,6,2)",4.999765,-5.499287,2.495143,-30.248713
"(-10,0,6,4)",4.999765,-10.500676,27.500917,-110.242607
"(-10,0,6,6)",4.999765,-15.501412,52.503429,-240.231796
"(-10,0,6,8)",23019255808.000000,3336290048.000000,453087208970771234816.000000,548723222935936958464.000000
"(-10,0,6,10)",-10316027002880.000000,12594195726336.000000,236342488977465979156037632.000000,-1010684711586528800221954048.000000
"(-10,0,8,0)",4.999765,-5.385013,1.923805,12.842066
"(-10,0,8,0.2)",4.999765,-5.385013,1.923805,12.842066
"(-10,0,8,0.4)",4.999765,-5.385013,1.923805,12.842066
"(-10,0,8,0.6)",4.999765,-5.385013,1.923805,12.842066
"(-10,0,8,0.8)",4.999765,-5.385013,1.923805,12.842066
"(-10,0,8,1)",4.999765,-4.000367,-4.999107,-16.000002
"(-10,0,8,2)",4.999765,-6.501282,7.504883,-42.248478
"(-10,0,8,4)",4.999765,-11.500321,32.498913,-132.241898
"(-10,0,8,6)",4.999765,-16.500189,57.497074,-272.230652
"(-10,0,8,8)",2712.426270,26796.812500,-65354248.000000,1227074176.000000
"(-10,0,8,10)",-871610.125000,996026.062500,1627859320832.000000,-6821241683968.000000
"(-10,0,10,0)",4.999765,-5.385013,1.923805,2.072040
"(-10,0,10,0.2)",4.999765,-5.385013,1.923805,2.072040
"(-10,0,10,0.4)",4.999765,-5.385013,1.923805,2.072040
"(-10,0,10,0.6)",4.999765,-5.385013,1.923805,2.072040
"(-10,0,10,0.8)",4.999765,-5.385013,1.923805,2.072040
"(-10,0,10,1)",4.999765,-5.000000,-0.001173,-25.000002
"(-10,0,10,2)",4.999765,-7.499522,12.495847,-56.248245
"(-10,0,10,4)",4.999765,-12.499917,37.496658,-156.241196
"(-10,0,10,6)",4.999765,-17.497889,62.485336,-306.229462
"(-10,0,10,8)",14.304545,75.340843,-1016.141968,13973.666016
"(-10,0,10,10)",-847502720.000000,1763717248.000000,2213016052843937792.000000,-10342098729837789184.000000
"(-10,0.2,-10,0)",10.023910,10.249957,-102.504974,-100.182594
"(-10,0.2,-10,0.2)",10.005521,10.087946,-100.879913,-100.047958
"(-10,0.2,-10,0.4)",9.981532,10.018923,-100.188538,-99.814613
"(-10,0.2,-10,0.6)",10.036935,10.217899,-102.185677,-100.329918
"(-10,0.2,-10,0.8)",9.962628,10.145617,-101.449333,-99.599640
"(-10,0.2,-10,1)",7.549801,5.000665,-56.252537,-25.000000
"(-10,0.2,-10,2)",6.828656,1.526722,-32.081474,-2.510880
"(-10,0.2,-10,4)",6.886043,-4.986156,12.892042,-28.281332
"(-10,0.2,-10,6)",5.771266,-12.030906,45.028412,-82.116058
"(-10,0.2,-10,8)",-98.401405,-18.294538,8866.642578,13119.093750
"(-10,0.2,-10,10)",-64.733887,245.482224,20728.833984,-85212.460938
"(-10,0.2,-8,0)",9.332316,8.739670,-87.792397,-75.096893
